query,true_tool,true_needed,pred_needed,pred_tool,correct_select,raw_output
"I love acoustic covers, can you make a playlist exclusively with acoustic versions of popular songs?",MusicTool,1,1,MusicTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""MusicTool""}"
Can you recommend a first-person shooter game with realistic graphics?,GameTool,1,1,GameTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""GameTool""}"
"I need some specific and effective tips, strategies, and techniques to enhance my gameplay and increase my chances of winning in this strategy game.",GameTool,1,1,GameTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""GameTool""}"
How do I compare reviews for different games?,GameTool,1,1,Review,0,"{""tool_needed"": ""yes"", ""tool_name"": ""Review""}"
"Yes, could you please provide me with detailed information and access to a comprehensive game strategy guide specifically designed for the ""Final Fantasy VII Remake""?",GameTool,1,1,GameTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""GameTool""}"
"Is there a game strategy guide available for ""Final Fantasy VII Remake""?",GameTool,1,1,GameTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""GameTool""}"
What will the weather be like tomorrow in New York?,WeatherTool,1,1,WeatherTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""WeatherTool""}"
What is the weather forecast for tomorrow so that I can decide if I should bring an umbrella to work?,WeatherTool,1,1,WeatherTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""WeatherTool""}"
Show me the radar image for Los Angeles.,WeatherTool,1,1,MapTool,0,"{""tool_needed"": ""yes"", ""tool_name"": ""MapTool""}"
"Please provide me with the current weather conditions and forecast for Paris, France, including temperature, humidity, wind speed, and any precipitation information.",WeatherTool,1,1,WeatherTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""WeatherTool""}"
Will I need an umbrella tomorrow?,WeatherTool,1,1,WeatherTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""WeatherTool""}"
I need a restaurant with vegetarian options in Hiroshima.,RestaurantBookingTool,1,1,local,0,"{""tool_needed"": ""yes"", ""tool_name"": ""local""}"
All the restaurants in Japan are fully booked.,RestaurantBookingTool,1,1,local,0,"{""tool_needed"": ""yes"", ""tool_name"": ""local""}"
Can you help me locate a highly-rated restaurant in Japan with online reservations available for a party of four at 7 pm tomorrow?,RestaurantBookingTool,1,1,TripTool,0,"{""tool_needed"": ""yes"", ""tool_name"": ""TripTool""}"
"I want to try some unique dining experiences such as themed restaurants, immersive dining events, gastronomic adventures, or private chef's table experiences.",RestaurantBookingTool,1,1,TripAdviceTool,0,"{""tool_needed"": ""yes"", ""tool_name"": ""TripAdviceTool""}"
I'm in Japan and I want to find a restaurant with available reservations.,RestaurantBookingTool,1,1,TripTool,0,"{""tool_needed"": ""yes"", ""tool_name"": ""TripTool""}"
"I'm looking for a local bakery that sells a wide variety of freshly baked gluten-free products such as bread, pastries, cakes, and cookies.",local,1,1,local,1,"{""tool_needed"": ""yes"", ""tool_name"": ""local""}"
Where is the closest restaurant around me?,local,1,1,local,1,"{""tool_needed"": ""yes"", ""tool_name"": ""local""}"
"I have a nail appointment tomorrow, can you find a nearby nail salon that's open until 9pm?",local,1,1,local,1,"{""tool_needed"": ""yes"", ""tool_name"": ""local""}"
I need to find a reputable plumber urgently. Any suggestions for plumbing services in the area?,local,1,1,local,1,"{""tool_needed"": ""yes"", ""tool_name"": ""local""}"
I'm new in town and need a reliable auto repair garage. Could you help me find one?,local,1,1,local,1,"{""tool_needed"": ""yes"", ""tool_name"": ""local""}"
Can you help me find a rental property in Tokyo?,HouseRentingTool,1,1,HouseRentingTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""HouseRentingTool""}"
This is infuriating! I need assistance in finding a house for rent in Vancouver with at least 4 bedrooms and 3 bathrooms.,HouseRentingTool,1,1,HouseRentingTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""HouseRentingTool""}"
"I need immediate assistance in finding a pet-friendly apartment in the bustling city of Chicago, as I am currently in search of a suitable living space that allows me to accommodate my beloved furry companion.",HouseRentingTool,1,1,TripTool,0,"{""tool_needed"": ""yes"", ""tool_name"": ""TripTool""}"
Hey! I'm trying to find a one-bedroom condo in Vancouver within a price range of $2000-$2500 per month.,HouseRentingTool,1,1,TripTool,0,"{""tool_needed"": ""yes"", ""tool_name"": ""TripTool""}"
What paperwork do I need to fill out when renting a house for the first time?,HouseRentingTool,1,1,HouseRentingTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""HouseRentingTool""}"
Can you provide me with a list of real estate agents specializing in luxury properties in Chicago?,HousePurchasingTool,1,1,HouseRentingTool,0,"{""tool_needed"": ""yes"", ""tool_name"": ""HouseRentingTool""}"
Find me a three-bedroom house in Mississauga with a backyard.,HousePurchasingTool,1,1,HouseRentingTool,0,"{""tool_needed"": ""yes"", ""tool_name"": ""HouseRentingTool""}"
I'm so frustrated with the lack of options for sale in my neighborhood. ,HousePurchasingTool,1,1,local,0,"{""tool_needed"": ""yes"", ""tool_name"": ""local""}"
"I would like to receive a detailed list of off-the-plan properties available in Adelaide, including information about the nearby schools and supermarkets.",HousePurchasingTool,1,1,TripTool,0,"{""tool_needed"": ""yes"", ""tool_name"": ""TripTool""}"
"Please provide me with a selection of photographs featuring a variety of traditional houses found in the scenic countryside of the island of Mallorca, showcasing their unique architectural styles, design elements, and surrounding natural landscapes.",HousePurchasingTool,1,1,NASATool,0,"{""tool_needed"": ""yes"", ""tool_name"": ""NASATool""}"
"Can you please provide tips on how to create an impressive software developer resume that highlights relevant skills, showcases practical experience, and effectively communicates technical proficiencies, such as programming languages, frameworks, and tools utilized?",JobTool,1,1,ResumeTool,0,"{""tool_needed"": ""yes"", ""tool_name"": ""ResumeTool""}"
I'm interested in remote job opportunities. Can you help me with that?,JobTool,1,1,JobTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""JobTool""}"
"I'm looking for software development jobs in Tokyo, Japan.",JobTool,1,1,JobTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""JobTool""}"
"I'm interested in working with decentralized technologies and would like to learn more about the implementation and development processes surrounding blockchain, distributed systems, and peer-to-peer networks. Additionally, I am keen on understanding the potential applications and challenges within the decentralized space.",JobTool,1,1,CourseTool,0,"{""tool_needed"": ""yes"", ""tool_name"": ""CourseTool""}"
"I'm actively searching for well-established and engaging software development job opportunities specifically in Tokyo, Japan, which align with my skills, expertise, and career goals.",JobTool,1,1,JobTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""JobTool""}"
"As a beginner in React.js, I am requesting detailed guidance on the step-by-step process of creating functional components.",RepoTool,1,1,RepoTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""RepoTool""}"
I need your help in inspecting this public repository on GitLab. [GitLab repo HTTPS link],RepoTool,1,1,RepoTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""RepoTool""}"
"I'm looking for a JavaScript code snippet that generates a random number between 1 and 10. Specifically, I need the code to be efficient and reliable, ensuring that every possible number between 1 and 10 has an equal chance of being generated.",RepoTool,1,0,,0,"{""tool_needed"": ""no"", ""tool_name"": null}"
Can you help me get the README file for a repository?,RepoTool,1,1,RepoTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""RepoTool""}"
"The user is requesting an example in Python that uses the ""map"" function to apply a transformation to each element of a list.",RepoTool,1,1,ChartTool,0,"{""tool_needed"": ""yes"", ""tool_name"": ""ChartTool""}"
Can you help me find a summary of the latest research on climate change and its impact on ecosystems?,ResearchFinder,1,1,ResearchFinder,1,"{""tool_needed"": ""yes"", ""tool_name"": ""ResearchFinder""}"
"Can you assist me in finding scholarly peer-reviewed academic sources from reputable journals and databases, specifically related to human behavior and psychology, that cover a wide range of topics such as cognitive psychology, social psychology, developmental psychology, and abnormal psychology?",ResearchFinder,1,1,ResearchFinder,1,"{""tool_needed"": ""yes"", ""tool_name"": ""ResearchFinder""}"
"I need to write a comprehensive research paper that extensively explores the role and impact of artificial intelligence in healthcare, covering various aspects such as its applications, benefits, limitations, ethics, challenges, and future potential.",ResearchFinder,1,1,ResearchFinder,1,"{""tool_needed"": ""yes"", ""tool_name"": ""ResearchFinder""}"
Can you please provide me with a paper that specifically explores the various methods and approaches of natural language processing in the context of analyzing data from social media platforms?,ResearchFinder,1,1,ResearchFinder,1,"{""tool_needed"": ""yes"", ""tool_name"": ""ResearchFinder""}"
"Can you find me some recent academic papers, published within the past two years, focusing on the advancements and current state of self-driving cars, including their safety measures, potential risks, and regulatory frameworks?",ResearchFinder,1,1,ResearchFinder,1,"{""tool_needed"": ""yes"", ""tool_name"": ""ResearchFinder""}"
"I want to explore the impact of social media on society, can you provide some scientific articles on this topic?",ResearchHelper,1,1,ResearchFinder,0,"{""tool_needed"": ""yes"", ""tool_name"": ""ResearchFinder""}"
Can you help me find research papers on climate change?,ResearchHelper,1,1,ResearchFinder,0,"{""tool_needed"": ""yes"", ""tool_name"": ""ResearchFinder""}"
Why is it so difficult to find relevant papers? I need assistance with this! ,ResearchHelper,1,1,ResearchFinder,0,"{""tool_needed"": ""yes"", ""tool_name"": ""ResearchFinder""}"
"Can you find any recent peer-reviewed studies published within the last five years that examine the relationship between moderate-intensity aerobic exercise, specifically focusing on activities like walking, swimming, and cycling, and cognitive function in older adults aged 65 years and above?",ResearchHelper,1,1,ResearchFinder,0,"{""tool_needed"": ""yes"", ""tool_name"": ""ResearchFinder""}"
"Search for recent peer-reviewed research papers published within the last five years that specifically focus on various applications and advancements within the field of artificial intelligence, including machine learning, natural language processing, computer vision, deep learning, robotics, and expert systems.",ResearchHelper,1,1,ResearchFinder,0,"{""tool_needed"": ""yes"", ""tool_name"": ""ResearchFinder""}"
I want to increase the visibility of my online store. Can you help me with SEO techniques for e-commerce websites?,SEOTool,1,1,SEOTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""SEOTool""}"
Can you provide me with an On-Page Analysis of a website?,SEOTool,1,1,SEOTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""SEOTool""}"
"Hey Chatbot, can you provide me with a report of my domain visibility for the past month?",SEOTool,1,1,URLTool,0,"{""tool_needed"": ""yes"", ""tool_name"": ""URLTool""}"
"and I would like to receive a variety of user requests related to gardening tips, advice on plant care, recommended tools and equipment, suggestions for organic gardening practices, and ideas for creating beautiful outdoor spaces.",SEOTool,1,1,,0,"{""tool_needed"": ""yes"", ""tool_name"": ""GardeningTool""}"
I'm starting a new website and I want to make sure it ranks well in search results. Could you assist me in generating relevant keywords?,SEOTool,1,1,SEOTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""SEOTool""}"
"Can you assist me by providing recommendations and options for a fitness tracker that includes heart rate monitoring features, ensuring it comes at a reasonable price point?",ProductSearch,1,1,ProductSearch,1,"{""tool_needed"": ""yes"", ""tool_name"": ""ProductSearch""}"
I am seeking to purchase a camera that has a high-resolution sensor capable of capturing images with exceptional clarity and detail.,ProductSearch,1,1,ProductSearch,1,"{""tool_needed"": ""yes"", ""tool_name"": ""ProductSearch""}"
"Hi there! I'm currently shopping for a range of home appliances, including kitchen appliances like refrigerators, stoves, and microwaves, as well as essential household appliances like washing machines and vacuum cleaners.",ProductSearch,1,1,ProductSearch,1,"{""tool_needed"": ""yes"", ""tool_name"": ""ProductSearch""}"
"This store doesn't have any fashionable clothes, can you find me some?",ProductSearch,1,1,ProductSearch,1,"{""tool_needed"": ""yes"", ""tool_name"": ""ProductSearch""}"
Can you find me a reliable online store that sells secondhand electronics in Japan?,ProductSearch,1,1,TripTool,0,"{""tool_needed"": ""yes"", ""tool_name"": ""TripTool""}"
"I can't believe how expensive this store is! I need some coupon codes to save some money."" ",Discount,1,1,Discount,1,"{""tool_needed"": ""yes"", ""tool_name"": ""Discount""}"
I'm looking for discounts on clothing and accessories. Can you find me any coupons or deals from fashion retailers?,Discount,1,1,Discount,1,"{""tool_needed"": ""yes"", ""tool_name"": ""Discount""}"
"I'm so angry! Today best deals, I can't find any good discounts anywhere!",Discount,1,1,Discount,1,"{""tool_needed"": ""yes"", ""tool_name"": ""Discount""}"
Can you please provide me with information about any ongoing promotions for fashion and clothing brands?,Discount,1,1,ProductSearch,0,"{""tool_needed"": ""yes"", ""tool_name"": ""ProductSearch""}"
"I'm planning to do some online shopping today and I am looking forward to explore different websites, compare prices, and find the best deals for the items on my wishlist.",Discount,1,1,ProductSearch,0,"{""tool_needed"": ""yes"", ""tool_name"": ""ProductSearch""}"
Can you provide me with the current list of top-rated smartphones available on Amazon?,Review,1,1,ProductSearch,0,"{""tool_needed"": ""yes"", ""tool_name"": ""ProductSearch""}"
I'm redecorating my living room and need a new sofa. Can you assist me in finding affordable options with good customer reviews?,Review,1,1,ProductSearch,0,"{""tool_needed"": ""yes"", ""tool_name"": ""ProductSearch""}"
"Can you thoroughly analyze and evaluate the reviews, ratings, and feedback available for various smartphones, effectively compare them in terms of features, performance, reliability, user satisfaction, and overall value for money, and subsequently provide me with expert recommendations to assist in making an informed and decisive purchase decision?",Review,1,1,,0,"{""tool_needed"": ""yes"", ""tool_name"": ""ProductReviewTool""}"
Can you suggest a reliable coffee machine with good customer reviews on Amazon that has a budget-friendly price range and offers a wide variety of features for brewing customized coffee?,Review,1,1,ProductSearch,0,"{""tool_needed"": ""yes"", ""tool_name"": ""ProductSearch""}"
"Can you thoroughly analyze and evaluate the reviews of various SSDs, taking into consideration factors such as performance, reliability, durability, storage capacity, and user satisfaction, and provide a precise recommendation declaring the absolute best SSD available in the market?",Review,1,1,,0,"{""tool_needed"": ""yes"", ""tool_name"": ""ProductReviewTool""}"
I can't decide whether to get a Tesla Model 3 or a Chevy Bolt. Could you help me compare them?,ProductComparison,1,1,ProductComparison,1,"{""tool_needed"": ""yes"", ""tool_name"": ""ProductComparison""}"
Can you help me sort through the options for DSLR cameras? I've narrowed it down to the Nikon D750 and Canon 5D Mark IV.,ProductComparison,1,1,ProductComparison,1,"{""tool_needed"": ""yes"", ""tool_name"": ""ProductComparison""}"
Can you help me compare prices for smartphones in Australia?,ProductComparison,1,1,ProductComparison,1,"{""tool_needed"": ""yes"", ""tool_name"": ""ProductComparison""}"
I’m trying to choose a mattress. Can you compare the Purple mattress with Casper for me?,ProductComparison,1,1,ProductComparison,1,"{""tool_needed"": ""yes"", ""tool_name"": ""ProductComparison""}"
Could you compare Samsung Galaxy Tab S6 and Apple iPad Pro for me? I am considering their performance and display.,ProductComparison,1,1,ProductComparison,1,"{""tool_needed"": ""yes"", ""tool_name"": ""ProductComparison""}"
I'm trying to have a smoother online shopping experience by utilizing a QR code. Can your tool provide that?,ShoppingAssistant,1,1,ShoppingAssistant,1,"{""tool_needed"": ""yes"", ""tool_name"": ""ShoppingAssistant""}"
I'm planning a hiking trip and need to buy some outdoor gear. Can you recommend some durable and waterproof products from Uniket?,ShoppingAssistant,1,1,ProductSearch,0,"{""tool_needed"": ""yes"", ""tool_name"": ""ProductSearch""}"
"To search for a specific product on Uniket, users can utilize the search bar located at the top of the homepage. By entering relevant keywords such as the desired product's name, brand, or category, users can narrow down their search and browse through a selection of matching products available on the Uniket platform.",ShoppingAssistant,1,0,,0,"{""tool_needed"": ""no""}"
I've added a bunch of items to my online shopping cart and I'm struggling to organize it. Can you assist?,ShoppingAssistant,1,1,ShoppingAssistant,1,"{""tool_needed"": ""yes"", ""tool_name"": ""ShoppingAssistant""}"
I'm having trouble keeping track of all the items I've added to my cart. Could you help manage it?,ShoppingAssistant,1,1,ShoppingAssistant,1,"{""tool_needed"": ""yes"", ""tool_name"": ""ShoppingAssistant""}"
